Date,Close,High,Low,Open,Volume
,SPY,SPY,SPY,SPY,SPY
2019-01-02,226.9547576904297,227.88915130013166,223.11744981817586,223.14466368773236,126925200
2019-01-03,221.5390167236328,225.49426106897795,221.0491393280496,225.18581410639584,144140700
2019-01-04,228.95960998535156,229.61277056651494,224.224202693044,224.60521072501368,142628800
2019-01-07,230.76483154296875,232.1890745948925,228.3245534223387,229.2317191866026,103139100
2019-01-08,232.93301391601562,233.42289132884036,230.42017395388714,232.97838882868132,102512600
2019-01-09,234.0215606689453,234.87429872891184,232.40680666519006,233.64961937176815,95006600
2019-01-10,234.84710693359375,235.10111227206158,231.78088183633582,232.4703367626794,96823900
2019-01-11,234.9377899169922,234.96500378141891,233.1688056757518,233.7584578613316,73858100
2019-01-14,233.5044708251953,234.320914506344,232.6063855443821,233.0145935427049,70908200
2019-01-15,236.18064880371094,236.49816240722788,233.8764396543242,233.88552017241238,85208300
2019-01-16,236.7521514892578,237.65023681409102,236.407424039664,236.6160544653096,77636700
2019-01-17,238.54833984375,239.41923904983625,235.8268421148702,235.87221702105543,96118400
2019-01-18,241.723388671875,242.19513260079614,238.58460278987434,240.380801020645,127900300
2019-01-22,238.4576416015625,240.4534178764553,236.82475387447514,240.23570689537948,115531200
2019-01-23,238.95657348632812,240.20846686018146,236.46186725668036,239.50087856424344,86030300
2019-01-24,239.08355712890625,239.67323709981474,237.75002217497703,238.77512405116485,59204100
2019-01-25,241.10655212402344,241.94115693434642,239.18336484291694,240.95232173962998,96883400
2019-01-28,239.2740936279297,239.33757420255807,237.48697564537989,238.93844666465247,85613700
2019-01-29,238.95657348632812,239.99072821831157,238.11291584203786,239.4192369552321,66136300
2019-01-30,242.73939514160156,243.5921331470912,239.71854542583588,240.489641837332,92473700
2019-01-31,244.8712921142578,245.3611694666667,242.4582274254748,242.67596607349378,104012100
2019-02-01,244.9892578125,246.02344038356176,244.1909472701738,245.07089943371375,85782500
2019-02-04,246.7128448486328,246.77635310963046,244.35420783371694,245.03458229852876,60744800
2019-02-05,247.7469940185547,248.05542707899846,246.6402505971957,247.14826124786828,79552800
2019-02-06,247.4205322265625,247.96483755319775,246.6766768874972,247.4659071530848,58347800
2019-02-07,245.06179809570312,246.34087759273785,243.38353572200194,245.78751970808503,95482000
2019-02-08,245.3611602783203,245.46093523802452,242.96622903134696,243.80083383439992,75788900
2019-02-11,245.49725341796875,246.28648339214004,244.96202881116875,246.02342519042207,68021400
2019-02-12,248.6541748046875,249.03516897335427,247.05755398683021,247.13014276100873,72270200
2019-02-13,249.46148681640625,250.3142247885935,249.07141220994828,249.4977811960419,65277200
2019-02-14,248.9081573486328,250.05119511895776,247.53832812765629,248.36385233016838,83234400
2019-02-15,251.62062072753906,251.65691511800978,250.49574378352173,250.7043742385846,97088700
2019-02-19,252.05596923828125,252.71818241277816,250.80407627211275,250.81315678721455,59120800
2019-02-20,252.56402587890625,253.0266892816198,251.51171026135327,252.01972087886128,76610800
2019-02-21,251.66592407226562,252.2827901123123,250.69525011588306,251.9199293643143,64214700
2019-02-22,253.22628784179688,253.4258377510295,251.64780044241874,252.29188044218253,78114600
2019-02-25,253.5709991455078,255.1948338373181,253.4893575376969,254.668689803257,69030700
2019-02-26,253.3896026611328,254.27860758409201,253.00858077664452,253.21723891392477,56844100
2019-02-27,253.2806396484375,253.63441982679782,251.72031375184426,252.66374601713596,56921600
2019-02-28,252.8089599609375,253.50749534905702,252.4823935596115,253.0629652790255,69268300
2019-03-01,254.38751220703125,254.80480083227403,252.93604101132684,254.40564556134254,78880500
2019-03-04,253.46205139160156,255.7027514274474,251.13970977766775,255.45782669318336,106494600
2019-03-05,253.11734008789062,253.78866146886537,252.5639823509562,253.58908392606168,59114600
2019-03-06,251.58425903320312,253.2443878178936,251.25769265985477,253.23530730157805,75039800
2019-03-07,249.4796905517578,251.27586122592075,248.62695243360793,251.130711367033,94885100
2019-03-08,248.98074340820312,249.15310714274926,247.13014491808556,247.60186121633996,85795800
2019-03-11,252.5911865234375,252.75446968369633,249.67919276083543,249.70640662087857,65098900
2019-03-12,253.54376220703125,254.0699338777234,252.96319048725402,253.1536875548134,79667500
2019-03-13,255.22203063964844,256.1654908521052,254.2785704271916,254.44188131639854,80639200
2019-03-14,255.0587615966797,255.6756277494772,254.61425917547348,255.24925867941013,67518400
2019-03-15,256.3188781738281,257.13891808677903,255.42592975822362,255.61729372285447,81309000
2019-03-18,257.248291015625,257.54898997218635,256.3097955021331,256.5375859452763,62199800
2019-03-19,257.31207275390625,259.0979419988998,256.41003151906637,258.323476756213,90268100
2019-03-20,256.5375061035156,258.31428212962953,255.41679526817657,257.0933290711514,84609200
2019-03-21,259.4350891113281,259.8450952055131,255.66286620613124,255.7084409764513,79550400
2019-03-22,254.4419403076172,258.5877154998068,254.3781523061491,258.05925387474093,122659300
2019-03-25,254.25057983398438,255.29841027418314,252.97495895867937,254.0956701032743,85575200
2019-03-26,256.1457824707031,257.1116116851987,254.7243723887493,256.02732699613205,68125900
2019-03-27,254.8063201904297,256.72888550741,253.2391212226634,256.1366082587199,72224700
2019-03-28,255.7721405029297,256.2277212593843,254.27785008110882,255.44413570537483,56238500
2019-03-29,257.38494873046875,257.71295357205776,256.1639954760323,257.3029475200715,82186800
2019-04-01,260.4374084472656,260.73810746297397,259.13445352974554,259.40781879915824,77617900
2019-04-02,260.56494140625,260.8018523726309,259.76311457214695,260.6287294058835,40070400
2019-04-03,260.9748840332031,262.1958370828899,260.36439360513884,261.7949238061042,68243200
2019-04-04,261.6673889160156,261.9225130588768,260.6013453858781,261.30292982713485,48997500
2019-04-05,262.9339599609375,262.9886274428956,262.0501319273475,262.34171036875773,58621700
2019-04-08,263.134521484375,263.24385649184524,261.840659014233,262.5058173849593,53566300
